"Id"	"Name"	"NIP"	"Address"	"P24Id"	"HotresId"	"Verified"
1	Several	"5272840662"	Dąbrowskigo 77a, 60-529 Poznań	"120982"	-1	verified
2	Nowęcin	"8411620122"	Kartuska 459a, Gdańsk	"122554"	"2058"	verified
3	Łapsze Niżne	"5322032439"	ul. Nadmeńska 9, 05-230 Kobyłka	"123107"	"2060"	verified
4	Baligród	"0000000000"	Baligród 38-606	-10	"2063"	No
5	Czyrna	"0000000000"	Czyrna 33-380	-10	"2061"	No
6	Gruszowa	"0000000000"	Gruszowa 37-742	-10	"2083"	No
7	Grzechynia	"0000000000"	Grzechyna 34-220	-10	"2051"	No
8	Jałówka	"0000000000"	Jałówka 16-050	-10	"2053"	No
9	Joniny	"0000000000"	Jonini 33-160	-10	"2087"	No
10	Kościelisko	"7361514422"	Kościelisko 34-511	"123873"	"2089"	No
11	Krańcówka	"0000000000"	Krańcówka 43-370	-10	"2082"	No
12	Laskowa	"0000000000"	Laskowa 34-603	-10	"2059"	No
13	Leszczyniec	"0000000000"	Leszczyniec 58-425	-10	"2085"	No
14	Murzasichle	"0000000000"	Murzasichle 34-531	-10	"2052"	No
15	Niedzica	"0000000000"	Niedzica 34-441	-10	"2043"	No
16	Obidowa	"0000000000"	Obidowa 34-404	-10	"2084"	No
17	Podamirowo	"0000000000"	Podamirowo 76-131	-10	"2062"	No
18	Rzepedź	"0000000000"	Rzepedź 38-542	-10	"2079"	No
19	Skorzewo	"0000000000"	Skorzewo 83-400	-10	"2086"	No
20	Sułkowice	"0000000000"	Sułkowice 34-120	-10	"2054"	No
21	Tleń	"0000000000"	Tleń 86-150	-10	"2088"	No
22	Tuchomko	"9580368683"	Tuchomko 77-133	"124011"	"2055"	verified
